image1L,image1R,image2L,image2R,imageCuedProbe,scramble1L,scramble1R,scramble2L,scramble2R,cuedType,uncuedType,cue,probeCorrect,buttonCorrect,arrow,run,imageUncuedProbe,uncuedProbeCorrect,uncuedButtonCorrect,probeNonCued
images/id042_v1_ff.jpg,images/id039_v1_ff.jpg,images/id137_v1_so.jpg,images/id114_v1_so.jpg,images/id129_v1_so.jpg,scrambles/id040_v1_ff.jpg,scrambles/id068_v1_ff.jpg,scrambles/id132_v1_so.jpg,scrambles/id114_v1_so.jpg,SO,FF,2,0,right,<,3,none,,,0
images/id044_v1_ff.jpg,images/id066_v1_ff.jpg,images/id005_v1_fm.jpg,images/id007_v1_fm.jpg,images/id040_v1_ff.jpg,scrambles/id044_v1_ff.jpg,scrambles/id061_v1_ff.jpg,scrambles/id033_v1_fm.jpg,scrambles/id022_v1_fm.jpg,FF,FM,1,0,left,>,3,none,,,0
images/id069_v1_ff.jpg,images/id049_v1_ff.jpg,images/id072_v1_si.jpg,images/id086_v1_si.jpg,images/id063_v1_ff.jpg,scrambles/id052_v1_ff.jpg,scrambles/id036_v1_ff.jpg,scrambles/id101_v1_si.jpg,scrambles/id105_v1_si.jpg,FF,SI,1,0,left,>,3,images/id072_v1_si.jpg,1,right,1
images/id021_v1_fm.jpg,images/id033_v1_fm.jpg,images/id035_v1_fm.jpg,images/id034_v1_fm.jpg,images/id035_v1_fm.jpg,scrambles/id011_v1_fm.jpg,scrambles/id013_v1_fm.jpg,scrambles/id020_v1_fm.jpg,scrambles/id012_v1_fm.jpg,FM,FM,2,1,left,<,3,none,,,0
images/id052_v1_ff.jpg,images/id055_v1_ff.jpg,images/id004_v1_fm.jpg,images/id026_v1_fm.jpg,images/id026_v1_fm.jpg,scrambles/id066_v1_ff.jpg,scrambles/id046_v1_ff.jpg,scrambles/id007_v1_fm.jpg,scrambles/id004_v1_fm.jpg,FM,FF,2,1,left,<,3,images/id052_v1_ff.jpg,1,left,1
images/id124_v1_so.jpg,images/id139_v1_so.jpg,images/id027_v1_fm.jpg,images/id006_v1_fm.jpg,images/id012_v1_fm.jpg,scrambles/id132_v1_so.jpg,scrambles/id115_v1_so.jpg,scrambles/id009_v1_fm.jpg,scrambles/id034_v1_fm.jpg,FM,SO,2,0,right,<,3,none,,,0
images/id094_v1_si.jpg,images/id088_v1_si.jpg,images/id078_v1_si.jpg,images/id105_v1_si.jpg,images/id075_v1_si.jpg,scrambles/id071_v1_si.jpg,scrambles/id087_v1_si.jpg,scrambles/id084_v1_si.jpg,scrambles/id099_v1_si.jpg,SI,SI,1,0,left,>,3,none,,,0
images/id018_v1_fm.jpg,images/id011_v1_fm.jpg,images/id119_v1_so.jpg,images/id132_v1_so.jpg,images/id132_v1_so.jpg,scrambles/id017_v1_fm.jpg,scrambles/id027_v1_fm.jpg,scrambles/id133_v1_so.jpg,scrambles/id108_v1_so.jpg,SO,FM,2,1,left,<,3,none,,,0
images/id107_v1_so.jpg,images/id133_v1_so.jpg,images/id127_v1_so.jpg,images/id120_v1_so.jpg,images/id133_v1_so.jpg,scrambles/id135_v1_so.jpg,scrambles/id130_v1_so.jpg,scrambles/id108_v1_so.jpg,scrambles/id127_v1_so.jpg,SO,SO,1,1,right,>,3,none,,,0
images/id090_v1_si.jpg,images/id082_v1_si.jpg,images/id014_v1_fm.jpg,images/id019_v1_fm.jpg,images/id019_v1_fm.jpg,scrambles/id085_v1_si.jpg,scrambles/id080_v1_si.jpg,scrambles/id034_v1_fm.jpg,scrambles/id031_v1_fm.jpg,FM,SI,2,1,left,<,3,none,,,0
images/id025_v1_fm.jpg,images/id030_v1_fm.jpg,images/id073_v1_si.jpg,images/id096_v1_si.jpg,images/id095_v1_si.jpg,scrambles/id006_v1_fm.jpg,scrambles/id014_v1_fm.jpg,scrambles/id083_v1_si.jpg,scrambles/id094_v1_si.jpg,SI,FM,2,0,right,<,3,images/id025_v1_fm.jpg,1,left,1
images/id116_v1_so.jpg,images/id108_v1_so.jpg,images/id101_v1_si.jpg,images/id072_v1_si.jpg,images/id071_v1_si.jpg,scrambles/id125_v1_so.jpg,scrambles/id116_v1_so.jpg,scrambles/id105_v1_si.jpg,scrambles/id097_v1_si.jpg,SI,SO,2,0,right,<,3,none,,,0
images/id040_v1_ff.jpg,images/id058_v1_ff.jpg,images/id132_v1_so.jpg,images/id130_v1_so.jpg,images/id040_v1_ff.jpg,scrambles/id055_v1_ff.jpg,scrambles/id070_v1_ff.jpg,scrambles/id109_v1_so.jpg,scrambles/id129_v1_so.jpg,FF,SO,1,1,right,>,3,images/id122_v1_so.jpg,0,left,1
images/id073_v1_si.jpg,images/id095_v1_si.jpg,images/id050_v1_ff.jpg,images/id053_v1_ff.jpg,images/id080_v1_si.jpg,scrambles/id096_v1_si.jpg,scrambles/id081_v1_si.jpg,scrambles/id049_v1_ff.jpg,scrambles/id053_v1_ff.jpg,SI,FF,1,0,left,>,3,none,,,0
images/id069_v1_ff.jpg,images/id070_v1_ff.jpg,images/id064_v1_ff.jpg,images/id045_v1_ff.jpg,images/id070_v1_ff.jpg,scrambles/id039_v1_ff.jpg,scrambles/id057_v1_ff.jpg,scrambles/id069_v1_ff.jpg,scrambles/id054_v1_ff.jpg,FF,FF,1,1,right,>,3,none,,,0
images/id134_v1_so.jpg,images/id136_v1_so.jpg,images/id096_v1_si.jpg,images/id091_v1_si.jpg,images/id134_v1_so.jpg,scrambles/id135_v1_so.jpg,scrambles/id119_v1_so.jpg,scrambles/id105_v1_si.jpg,scrambles/id086_v1_si.jpg,SO,SI,1,1,right,>,3,none,,,0
